element,len
C,1235350402
O,466094637
N,349509423
H,298972924
P,11001240
S,8545004
MG,762334
D,255624
SE,151763
ZN,104768
FE,76298
CL,75138
CA,63061
F,46061
OS,37966
NA,37061
K,22186
MN,20553
I,14260
X,14023
BR,11787
CU,10934
CD,8474
NI,5447
CO,4927
SR,4399
W,3649
HG,2945
AS,2517
B,2402
MO,1587
PT,1429
BA,1274
BE,1132
AL,1120
CS,1076
AG,1031
AU,990
XE,868
GD,721
V,672
IR,630
TA,625
RU,560
TB,468
U,451
TL,450
RB,404
YB,370
KR,306
Y,290
PB,271
SM,233
RH,213
LA,207
LI,202
PR,197
RE,148
SI,146
AR,127
PD,123
LU,104
GA,95
TE,89
EU,76
CE,74
CR,67
HO,60
HF,44
DY,44
ZR,39
SB,36
SN,25
ER,22
TI,11
TH,9
AM,6
CM,6
ND,6
IN,4
NE,4
BI,3
PU,3
CF,3
SC,1
