pdb_id,has_mmcif,has_quality
4oz4,true,false
7vra,false,true
1dx4,true,false
5lho,true,false
8bpk,true,false
7s1e,true,false
4p95,true,false
8hxm,true,false
6ers,true,false
6ym6,true,false
4uf4,true,false
6bu5,true,false
6ffv,true,false
6nc7,false,true
7yip,true,false
6ltt,true,false
6rm0,true,false
4iqq,true,false
4bv1,true,false
3nyh,true,false
6fev,true,false
6rew,true,false
7vin,true,false
4qe6,true,false
5esy,true,false
6ixk,true,false
8t2g,true,false
7tfg,true,false
6tf5,true,false
7e3i,true,false
6emd,true,false
6emb,true,false
4rzu,true,false
5our,true,false
6t8j,true,false
3unr,true,false
7drh,true,false
8bcn,true,false
8bco,true,false
4fxg,true,false
4fxk,true,false
4p6v,true,false
6q4l,true,false
7d6o,true,false
6l79,true,false
4ojy,true,false
7qa6,true,false
6i9o,true,false
7cop,true,false
7cor,true,false
7cos,true,false
7chg,true,false
3s4f,true,false
7ky3,true,false
7ky4,true,false
6kyg,true,false
3fkm,true,false
7u4v,true,false
4cfe,false,true
7jns,true,false
6g7u,true,false
6g7t,true,false
6g7v,true,false
6g7s,true,false
4uef,true,false
7dnv,true,false
2b39,true,false
7thl,true,false
8bfv,true,false
7x65,true,false
7yw6,true,false
8dg3,true,false
6wc4,true,false
7wcs,true,false
7c4g,true,false
7c4f,true,false
7c4e,true,false
7qxh,true,false
7qxg,true,false
6ipt,true,false
4ug4,true,false
4pox,true,false
2f83,true,false
7t52,true,false
7t59,true,false
7ulm,true,false
4xam,true,false
6qvx,true,false
4jdf,true,false
5dd2,true,false
6eqn,true,false
5s9f,true,false
5s9h,true,false
5s9i,true,false
1qo9,true,false
1qon,true,false
5byh,true,false
6agu,true,false
4wgw,true,false
7wgj,true,false
4wgv,true,false
6eul,true,false
5w7l,true,false
7z4p,true,false
4n1v,true,false
6lvj,true,false
1h6w,true,false
5iun,true,false
4bgo,true,false
